rosbagTimestamp,Fx,Fy,Fz,Tx,Ty,Tz
1471539673230079699,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539673243217977,-354631.0,-287278.0,-8719139.0,1298.0,86412.0,-12258.0
1471539673244712002,-336451.0,-252792.0,-8716947.0,-3184.0,81810.0,-12146.0
1471539673247364157,-356014.0,-240851.0,-8753983.0,-1805.0,82787.0,-11360.0
1471539673248939699,-336451.0,-252792.0,-8716947.0,-3184.0,81810.0,-12146.0
1471539673265774877,-335907.0,-276728.0,-8753865.0,-2227.0,82532.0,-11337.0
1471539673266766826,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539673272715199,-357024.0,-289074.0,-8752882.0,-2410.0,82766.0,-12144.0
1471539673273721725,-336274.0,-253614.0,-8752685.0,-3179.0,80356.0,-12092.0
1471539673279218937,-336084.0,-275905.0,-8718128.0,-2232.0,83985.0,-11391.0
1471539673280727324,-357746.0,-264315.0,-8680227.0,-3372.0,83498.0,-13008.0
1471539673288726019,-357201.0,-288251.0,-8717145.0,-2415.0,84219.0,-12198.0
1471539673289723633,-315886.0,-287542.0,-8717795.0,-2361.0,83736.0,-12163.0
1471539673303724764,-354912.0,-289227.0,-8753911.0,57.0,82777.0,-12163.0
1471539673304720040,-335907.0,-276728.0,-8753865.0,-2227.0,82532.0,-11337.0
1471539673314853107,-357379.0,-287428.0,-8681407.0,-2419.0,85673.0,-12252.0
1471539673316396554,-336084.0,-275905.0,-8718128.0,-2232.0,83985.0,-11391.0
1471539673325753561,-377223.0,-277437.0,-8753215.0,-2281.0,83015.0,-11372.0
1471539673326718689,-356283.0,-264268.0,-8718461.0,-2102.0,84234.0,-10618.0
1471539673329981525,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539673330896082,-336542.0,-277032.0,-8717163.0,-3476.0,81804.0,-11350.0
1471539673339278678,-377309.0,-252375.0,-8717262.0,-1993.0,84475.0,-12222.0
1471539673340710911,-357379.0,-287428.0,-8681407.0,-2419.0,85673.0,-12252.0
1471539673348729266,-336451.0,-252792.0,-8716947.0,-3184.0,81810.0,-12146.0
1471539673350214198,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539673363227207,-357951.0,-263251.0,-8789305.0,-2090.0,85671.0,-12948.0
1471539673364724472,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539673367610779,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539673370616665,-357024.0,-289074.0,-8752882.0,-2410.0,82766.0,-12144.0
1471539673385623111,-335729.0,-277550.0,-8789603.0,-2222.0,81078.0,-11282.0
1471539673387114368,-337469.0,-251208.0,-8753586.0,-3157.0,84709.0,-12154.0
1471539673389807606,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539673391262092,-335993.0,-251665.0,-8717912.0,-1939.0,83992.0,-12187.0
1471539673399644733,-356933.0,-264834.0,-8752667.0,-2117.0,82772.0,-12940.0
1471539673400610150,-337928.0,-252335.0,-8752621.0,-4402.0,82527.0,-12114.0
1471539673408625839,-376673.0,-252071.0,-8753965.0,-743.0,85203.0,-12208.0
1471539673409628584,-357477.0,-240898.0,-8715749.0,-3074.0,82051.0,-13750.0
1471539673431098238,-357110.0,-264011.0,-8716930.0,-2122.0,84226.0,-12994.0
1471539673432752386,-356192.0,-240029.0,-8718245.0,-1810.0,84241.0,-11414.0
